Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Bacteria_24k	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Lle-CNas_039.clmp.fp2_r1_screen	31639.0	3779.0	2679.0	1628.0	664.0	500.0	239.0	180.0	9.0	0.0	173332.0	1986877.0
Lle-CNas_039.clmp.fp2_r2_screen	32042.0	3599.0	2605.0	1582.0	661.0	448.0	256.0	225.0	9.0	0.0	174103.0	1985996.0
Lle-CNas_040.clmp.fp2_r1_screen	41669.0	4596.0	3598.0	2062.0	836.0	591.0	400.0	260.0	12.0	0.0	240674.0	2797611.0
Lle-CNas_040.clmp.fp2_r2_screen	42412.0	4537.0	3683.0	1947.0	770.0	575.0	393.0	281.0	17.0	0.0	242247.0	2795447.0
Lle-CNas_041.clmp.fp2_r1_screen	43953.0	6320.0	3779.0	2284.0	792.0	617.0	376.0	319.0	15.0	0.0	264987.0	2774655.0
Lle-CNas_041.clmp.fp2_r2_screen	45089.0	6439.0	3872.0	2319.0	879.0	581.0	323.0	365.0	10.0	0.0	266353.0	2771867.0
Lle-CNas_042.clmp.fp2_r1_screen	64026.0	7474.0	5385.0	2907.0	1254.0	950.0	562.0	499.0	28.0	0.0	385609.0	4081725.0
Lle-CNas_042.clmp.fp2_r2_screen	66161.0	7617.0	5470.0	2901.0	1277.0	908.0	571.0	537.0	20.0	0.0	389602.0	4075355.0
Lle-CNas_043.clmp.fp2_r1_screen	9339.0	992.0	758.0	481.0	264.0	133.0	82.0	55.0	2.0	0.0	43813.0	608984.0
Lle-CNas_043.clmp.fp2_r2_screen	9425.0	972.0	739.0	454.0	269.0	126.0	80.0	59.0	5.0	0.0	44122.0	608652.0
Lle-CNas_044.clmp.fp2_r1_screen	33431.0	3785.0	2798.0	1667.0	757.0	491.0	292.0	183.0	7.0	0.0	185133.0	2154602.0
Lle-CNas_044.clmp.fp2_r2_screen	34123.0	3677.0	2819.0	1659.0	772.0	471.0	272.0	189.0	6.0	1.0	186462.0	2152695.0
Lle-CNas_045.clmp.fp2_r1_screen	54167.0	7950.0	4748.0	2862.0	1183.0	769.0	465.0	395.0	14.0	3.0	305034.0	3695650.0
Lle-CNas_045.clmp.fp2_r2_screen	55921.0	7948.0	4760.0	2901.0	1222.0	781.0	422.0	418.0	15.0	0.0	308090.0	3690762.0
Lle-CNas_046.clmp.fp2_r1_screen	28872.0	3568.0	2478.0	1482.0	683.0	407.0	272.0	183.0	10.0	0.0	149901.0	1944439.0
Lle-CNas_046.clmp.fp2_r2_screen	29879.0	3512.0	2386.0	1339.0	617.0	428.0	258.0	183.0	8.0	0.0	151378.0	1942307.0
Lle-CNas_047.clmp.fp2_r1_screen	24683.0	2898.0	2165.0	1180.0	658.0	385.0	239.0	145.0	10.0	0.0	131989.0	1558407.0
Lle-CNas_047.clmp.fp2_r2_screen	25516.0	2871.0	2161.0	1120.0	675.0	334.0	235.0	171.0	8.0	0.0	133673.0	1555995.0
Lle-CNas_048.clmp.fp2_r1_screen	30227.0	3888.0	2540.0	1428.0	718.0	421.0	295.0	174.0	13.0	0.0	145605.0	2018118.0
